Mounting Locations
Row Labels,x,y,z
Max Turn Right,-893.607,-1049.3505,624.6036,114.6892,335.0978,330.5569
Combined Left,1803.8195,81.7533,-646.7046,343.2368,-472.6593,854.4508
Combined Right,-309.5924,-1383.5593,410.4292,277.2974,257.8821,341.9595
Max Bump,-2662.2483,-1906.8978,2168.5671,296.8125,640.0343,3254.3202

Resultant Forces RL
Row Labels,LCAF,LCAR,UCAF,UCAR,Tie Rod / Driveshaft,Push / Pull Rod
Max Speed,-955.1509,-60.2899,254.2856,-421.4543,777.224,823.1139
Max Acc.,6573.9235,-9735.3094,-6562.3057,5268.8551,4260.835,769.8001
Max Braking,-4557.5914,4757.6709,3605.3081,-3188.1367,-1068.2865,728.9619
Max Reverse Braking,5423.18,-8267.7238,-5525.7415,4401.7485,3738.9511,785.0136
Max Turn Left,-2338.2619,-1430.7576,331.6465,-61.9895,2200.8023,76.5555
Max Turn Right,4019.3661,4023.6236,-215.5201,-1075.6015,-4146.4907,2231.4605
Combined Left,-1645.0365,-2810.3027,-501.4979,631.2558,2908.6623,154.5046
Combined Right,5079.1117,474.1034,-2016.8529,648.1605,-2148.8361,1917.9225
Max Bump,-4775.7547,-301.4493,1271.4278,-2107.2713,3886.1202,4115.5696

Resultant Forces RR
Row Labels,LCAF,LCAR,UCAF,UCAR,Tie Rod / Driveshaft,Push / Pull Rod
Max Speed,-871.654,-291.7245,225.0274,-191.789,781.6684,761.9834
Max Acc.,6370.8965,-12314.635,-11787.7995,6506.6127,11455.0889,438.2642
Max Braking,-4343.9122,5727.2168,6163.2107,-3493.2243,-4638.3036,811.2012
Max Reverse Braking,5264.3534,-10492.7785,-9963.001,5488.5236,9842.247,493.9805
Max Turn Left,4715.2981,4212.9054,826.5132,-665.6841,-6398.1241,2608.6365
Max Turn Right,-2490.324,-1730.2626,-52.7487,31.7692,2971.7038,-113.9169
Combined Left,5566.6179,-77.5709,-2646.2447,1300.0472,-1925.6006,2128.2895
Combined Right,-1838.862,-3461.3457,-1594.8422,885.5126,4676.7825,-92.6099
Max Bump,-4358.27,-1458.6225,1125.1369,-958.945,3908.342,3809.917

